Id,Code,Name,Class,Standard Concept Caption,Valid Start Date,Valid End Date,RC,DRC,PC,DPC,Domain,Vocabulary,Ancestors
35755195,OMOP2756656,varenicline 0.5 MG Delayed Release Oral Tablet [Champix] Box of 11 by Sigma-Tau,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
35759296,OMOP2760757,varenicline 0.5 MG Delayed Release Oral Tablet [Champix] Box of 11 by Waymade,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
43205108,OMOP485554,varenicline 0.5 MG Delayed Release Oral Tablet [Champix] Box of 56,Branded Drug Box,Standard,8/23/2017,12/30/2099,0,680,0,560,Drug,RxNorm Extension,
43183162,OMOP485555,varenicline 0.5 MG Delayed Release Oral Tablet [Champix] Box of 56 by Pfizer,Marketed Product,Standard,8/23/2017,12/30/2099,680,680,560,560,Drug,RxNorm Extension,
35767623,OMOP2769084,varenicline 0.5 MG Delayed Release Oral Tablet [Champix] by Mawdsley-Brooks,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
35771973,OMOP2773434,varenicline 0.5 MG Delayed Release Oral Tablet [Champix] by Pfizer,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
35759299,OMOP2760760,varenicline 0.5 MG Delayed Release Oral Tablet [Champix] by Sigma-Tau,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
35759298,OMOP2760759,varenicline 0.5 MG Delayed Release Oral Tablet [Champix] by Waymade,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
44105322,OMOP1099953,varenicline 0.5 MG [Gd-Varenicline],Branded Drug Comp,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
780444,636671,varenicline 0.5 MG Oral Tablet,Clinical Drug,Standard,7/8/2006,12/30/2099,"328,350","9,633,670","230,270","6,260,700",Drug,RxNorm,
21154281,OMOP261996,varenicline 0.5 MG Oral Tablet Box of 11,Clinical Drug Box,Standard,8/23/2017,12/30/2099,0,40,0,40,Drug,RxNorm Extension,
21036370,OMOP261997,varenicline 0.5 MG Oral Tablet Box of 56,Clinical Drug Box,Standard,8/23/2017,12/30/2099,10,350,10,290,Drug,RxNorm Extension,
21114920,OMOP261998,varenicline 0.5 MG Oral Tablet [Champix],Branded Drug,Standard,8/23/2017,12/30/2099,"143,460","162,290","61,610","76,770",Drug,RxNorm Extension,
21144362,OMOP262003,varenicline 0.5 MG Oral Tablet [Champix] Box of 11,Branded Drug Box,Standard,8/23/2017,12/30/2099,40,40,40,40,Drug,RxNorm Extension,
21134442,OMOP262004,varenicline 0.5 MG Oral Tablet [Champix] Box of 11 by Mawdsley-Brooks,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
21026596,OMOP262005,varenicline 0.5 MG Oral Tablet [Champix] Box of 11 by Pfizer,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
40736438,OMOP4720789,varenicline 0.5 MG Oral Tablet [Champix] Box of 11 by Sigma,Marketed Product,Standard,6/3/2018,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
21055998,OMOP262007,varenicline 0.5 MG Oral Tablet [Champix] Box of 11 by Sigma-Tau,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
21144363,OMOP262008,varenicline 0.5 MG Oral Tablet [Champix] Box of 11 by Waymade,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
21036371,OMOP262009,varenicline 0.5 MG Oral Tablet [Champix] Box of 56,Branded Drug Box,Standard,8/23/2017,12/30/2099,0,340,0,280,Drug,RxNorm Extension,
40882419,OMOP2080381,varenicline 0.5 MG Oral Tablet [Champix] Box of 56 by Cc,Marketed Product,Standard,8/23/2017,12/30/2099,20,20,10,10,Drug,RxNorm Extension,
21095256,OMOP262010,varenicline 0.5 MG Oral Tablet [Champix] Box of 56 by Pfizer,Marketed Product,Standard,8/23/2017,12/30/2099,320,320,270,270,Drug,RxNorm Extension,
21055997,OMOP261999,varenicline 0.5 MG Oral Tablet [Champix] by Mawdsley-Brooks,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
